name,cwe_id
101,CWE-1321
@actions/core,CWE-77
@actions/core,CWE-20
@actions/core,CWE-77
@actions/core,CWE-74
@angular/core,CWE-79
@antfu/utils,CWE-1321
@apollo/gateway,CWE-400
@apollo/gateway,CWE-1321
@apollosproject/data-connector-rock,CWE-303
@apollosproject/data-connector-rock,CWE-287
@asyncapi/java-spring-cloud-stream-template,CWE-94
@asyncapi/modelina,CWE-94
@atlaskit/editor-core,CWE-79
@auth0/nextjs-auth0,CWE-79
@auth0/nextjs-auth0,CWE-601
@aws-crypto/client-browser,CWE-347
@awsui/components-react,CWE-79
@azure/ms-rest-nodeauth,CWE-269
@babel/traverse,CWE-184
@backstage/core-components,CWE-79
@backstage/plugin-auth-backend,CWE-79
@backstage/plugin-scaffolder-backend,CWE-94
@backstage/plugin-scaffolder-backend,CWE-22
@backstage/plugin-scaffolder-backend,CWE-22
@backstage/plugin-techdocs,CWE-77
@backstage/plugin-techdocs,CWE-434
@backstage/techdocs-common,CWE-22
@backstage/techdocs-common,CWE-434
@backstage/techdocs-common,CWE-77
@berslucas/liljs,CWE-79
@braintree/sanitize-url,CWE-79
@braintree/sanitize-url,CWE-79
@budibase/worker,CWE-284
@budibase/worker,CWE-913
@builder.io/qwik-city,CWE-352
@calizahq/react-hooks,CWE-506
@chainsafe/libp2p-noise,CWE-347
@chainsafe/lodestar,CWE-190
@ckeditor/ckeditor5-engine,CWE-400
@ckeditor/ckeditor5-link,CWE-79
@ckeditor/ckeditor5-markdown-gfm,CWE-79
@ckeditor/ckeditor5-markdown-gfm,CWE-400
@cookiex/deep,CWE-1321
@cookiex/deep,CWE-915
@cubejs-backend/api-gateway,CWE-89
@curveball/a12n-server,CWE-89
@curveball/a12n-server,CWE-269
@curveball/a12n-server,CWE-863
@dependencytrack/frontend,CWE-79
@diez/generation,CWE-77
@diez/generation,CWE-78
@dydxprotocol/perpetual,CWE-506
@dydxprotocol/solo,CWE-506
@easy-team/easywebpack-cli,CWE-22
